acc_date,type,reg,operator,fat,location,dmg,plane_type
2022-11-19 00:00:00,Airbus A320-211,N330NW,Delta Air Lines,0.0,"near Omaha-Eppley Airfield (OMA/KOMA), Omaha, NE",sub,AIRBUS A320-211
2022-11-20 00:00:00,Boeing 737-4Q8 (SF),TF-BBM,"Bluebird Cargo, opf ASL Airlines Belgium",0.0,Paris-Charles de Gaulle Airport (CDG),sub,BOEING 737-4Q8 (SF)
2022-11-25 00:00:00,Cirrus SF50 Vision Jet G2,N15VJ,Verijet,0.0,"1,6 km SW of Indianapolis Regional Airport, IN",sub,CIRRUS SF50 VISION JET G2
2022-11-28 00:00:00,Airbus A330-243,PR-AIY,Azul Linhas Aéreas Brasileiras,0.0,"near Manaus, AM",non,AIRBUS A330-243
2022-11-29 00:00:00,Boeing 737-7H4 (WL),N946WN,Southwest Airlines,0.0,"near Denver, CO",non,BOEING 737-7H4 (WL)
2022-11-29 00:00:00,Learjet 45,N988MC,Jett Aircraft,0.0,"Batesville Regional Airport, AR (BVX)",sub,LEARJET 45
2022-11-30 00:00:00,Learjet 36,N12FN,Aery Aviation,0.0,"Newport News/Williamsburg International Airport, VA (PHF)",sub,LEARJET 36
2022-12-01 00:00:00,Learjet 35A,N979RF,"REVA, Inc.",0.0,Guantánamo Naval Air Station (NBW),sub,LEARJET 35A
2022-12-03 00:00:00,Embraer ERJ-175LR,N85356,Mesa Airlines,0.0,"Taneytown, MD",non,EMBRAER ERJ-175LR
2022-12-07 00:00:00,British Aerospace BAe-146-200,CC-ACO,Antarctic Airways,0.0,Iquique-Diego Aracena International Airport (IQQ/SCDA),sub,BRITISH AEROSPACE BAE-146-200
2022-12-08 00:00:00,Boeing 767-322ER (WL),N649UA,United Airlines,0.0,"near Albany, NJ",non,BOEING 767-322ER (WL)
2022-12-15 00:00:00,Swearingen SA226-TC Metro II,N398KL,Key Lime Air,0.0,"Wichita Dwight D. Eisenhower National Airport, KS (ICT)",sub,SWEARINGEN SA226-TC METRO II
2022-12-17 00:00:00,de Havilland Canada DHC-8-402QPF Dash 8,5Y-VVY,Blue Bird Aviation,0.0,Abudwak Airstrip,sub,DE HAVILLAND CANADA DHC-8-402QPF DASH 8
2022-12-18 00:00:00,Airbus A330-243,N393HA,Hawaiian Airlines,0.0,"65 nm NNE of Maui, HI",non,AIRBUS A330-243
2022-12-18 00:00:00,Boeing 737-824 (WL),N87531,United Airlines,0.0,"near Cobán, Alta Verapaz",non,BOEING 737-824 (WL)
2022-12-22 00:00:00,Boeing 787-9 Dreamliner,C-FVNF,Air Canada,0.0,45 nm E of Tokyo-Narita Airport (NRT/RJAA),Unknown,BOEING 787-9 DREAMLINER
2022-12-23 00:00:00,de Havilland Canada DHC-6 Twin Otter 300,PK-OTY,Rimbun Air,0.0,Moanemani Airport (ONI),sub,DE HAVILLAND CANADA DHC-6 TWIN OTTER 300
2022-12-24 00:00:00,Gulfstream GIV-X (G450),N456FX,Flexjet LLC,0.0,"Miami, Florida",non,GULFSTREAM GIV-X (G450)
2022-12-26 00:00:00,Boeing 737-860 (WL),ET-APL,Ethiopian Airlines,0.0,Mogadishu Aden Adde International Airport (MGQ/HCMM),sub,BOEING 737-860 (WL)
2022-12-26 00:00:00,Boeing 737 MAX 8-200,EI-HEY,Ryanair,0.0,Bremen Airport (BRE/EDDW),non,BOEING 737 MAX 8-200
2022-12-26 00:00:00,Boeing 737-3Z0,C5-MAB,"Tarco Aviation, lsf Mid Africa Aviation",0.0,Mogadishu Aden Adde International Airport (MGQ),sub,BOEING 737-3Z0
2022-12-27 00:00:00,Embraer EMB-505 Phenom 300,N16DF,Skystallion LLC,0.0,"Hawthorne Airport, CA (HHR)",sub,EMBRAER EMB-505 PHENOM 300
2022-12-30 00:00:00,Canadair CL-600S Challenger 600,XB-SGV,private,2.0,near Venado,w/o,CANADAIR CL-600S CHALLENGER 600
2022-12-31 00:00:00,Cessna 208B Grand Caravan,5X-GBR,BAR Aviation,0.0,Mweya Airport (HUMW),w/o,CESSNA 208B GRAND CARAVAN
2021-01-02 00:00:00,Beechcraft 200 Super King Air,N831WP,"Vagus Group, Inc.",0.0,"White Plains-Westchester County Airport, NY (HPN)",non,BEECHCRAFT 200 SUPER KING AIR
2021-01-02 00:00:00,Learjet 31A,PP-BBV,Brasil Vida Táxi Aéreo,0.0,"Diamantina Airport, MG (DTI)",sub,LEARJET 31A
2021-01-09 00:00:00,Cessna 560 Citation V,N3RB,SX Transport LLC,1.0,"23 km SE of Pine Grove, OR",w/o,CESSNA 560 CITATION V
2021-01-09 00:00:00,Boeing 737-524 (WL),PK-CLC,Sriwijaya Air,62.0,19 km NE of Jakarta-Soekarno-Hatta International Airport (CGK),w/o,BOEING 737-524 (WL)
2021-01-12 00:00:00,Harbin Y-12-II,UNKNOWN,Kenya Air Force - KAF,4.0,ca 10 km N of Voi,w/o,HARBIN Y-12-II
2021-01-17 00:00:00,Boeing 777-31HER,A6-EPN,Emirates,0.0,Nicosia FIR,non,BOEING 777-31HER
2021-01-19 00:00:00,Avro RJ85,G-JOTR,Jota Aviation,0.0,London-Biggin Hill Airport (BQH),sub,AVRO RJ85
2021-01-19 00:00:00,Boeing 737-4Q8 (SF),G-JMCY,West Atlantic UK,0.0,Exeter Airport (EXT/EGTE),sub,BOEING 737-4Q8 (SF)
2021-01-23 00:00:00,Canadair CL-600 Challenger 600,N275JP,Global Avionics LLC,0.0,Los Mochis-Federal Airport (LMM),Unknown,CANADAIR CL-600 CHALLENGER 600
2021-01-23 00:00:00,North American Rockwell Sabreliner 60,XB-JMR,Aviacion Ejecutiva del Bajio,0.0,"Rocky Point, Clarendon",sub,NORTH AMERICAN ROCKWELL SABRELINER 60
2021-01-24 00:00:00,Raytheon Beechjet 400A,N476BJ,Martinair Inc.,0.0,"Binghamton Airport, NY (BGM)",sub,RAYTHEON BEECHJET 400A
2021-01-26 00:00:00,Harbin Y-12E,AF-222,Zambian Air Force,0.0,Mukinge Mission Airstrip,sub,HARBIN Y-12E
2021-01-28 00:00:00,Beechcraft B300 King Air 350,N217US,MM-Air LLC,0.0,"Davenport Airport, IA (DVN)",sub,BEECHCRAFT B300 KING AIR 350
2021-01-29 00:00:00,Beechcraft 100 King Air,UNKNOWN,private,0.0,"Crooked Tree, Orange Walk",w/o,BEECHCRAFT 100 KING AIR
Unknown,Antonov An-2,UNKNOWN,Korean People's Army Air and Anti-Air Force (KPAAF),5.0,near Taechon Air Base,w/o,ANTONOV AN-2
2021-02-01 00:00:00,Boeing 747-8KZF,JA13KZ,Nippon Cargo Airlines,0.0,Tokyo-Narita International Airport (NRT/RJAA),sub,BOEING 747-8KZF
2021-02-08 00:00:00,Airbus A320-271N,N918NK,Spirit Airlines,0.0,"Fort Lauderdale, Florida",non,AIRBUS A320-271N
2021-02-08 00:00:00,Embraer EMB-500 Phenom 100,9H-FAM,Luxwing,0.0,Paris-Le Bourget Airport (LBG),sub,EMBRAER EMB-500 PHENOM 100
